Node,Node Name,Appear in
"('ILX:0793701', ())",Intermediolateral nucleus of sixth thoracic segment,"ilxtr:sparc-nlp/mmset4/11
ilxtr:sparc-nlp/mmset1/11
ilxtr:sparc-nlp/mmset4/8
ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset4/12"
"('ILX:0793700', ())",Intermediolateral nucleus of fifth thoracic segment,"ilxtr:sparc-nlp/mmset4/11
ilxtr:sparc-nlp/mmset1/11
ilxtr:sparc-nlp/mmset4/8
ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset4/12"
"('ILX:0793804', ())",L6 parasympathetic nucleus,ilxtr:sparc-nlp/mmset4/2
"('ILX:0793805', ())",S1 sacral parasympathetic nucleus,ilxtr:sparc-nlp/mmset4/2
"('ILX:0793834', ())",accessory pelvic ganglion,"ilxtr:sparc-nlp/mmset4/2
ilxtr:sparc-nlp/mmset4/3b
ilxtr:sparc-nlp/mmset4/3c
ilxtr:sparc-nlp/mmset4/3a"
"('ILX:0793823', ())",major pelvic ganglion,"ilxtr:sparc-nlp/mmset4/2
ilxtr:sparc-nlp/mmset4/3b
ilxtr:sparc-nlp/semves/2
ilxtr:sparc-nlp/mmset4/3a
ilxtr:sparc-nlp/semves/2a
ilxtr:sparc-nlp/prostate/13
ilxtr:sparc-nlp/semves/4
ilxtr:sparc-nlp/prostate/12
ilxtr:sparc-nlp/prostate/14
ilxtr:sparc-nlp/semves/4a
ilxtr:sparc-nlp/prostate/11
ilxtr:sparc-nlp/mmset4/3c
ilxtr:sparc-nlp/semves/1"
"('ILX:0793806', ())",prostatic nerve plexus,ilxtr:sparc-nlp/mmset4/3
"('UBERON:0004713', ())",corpus cavernosum penis,"ilxtr:sparc-nlp/mmset4/3
ilxtr:sparc-nlp/mmset4/3a"
"('UBERON:0002014', ())",inferior hypogastric nerve plexus,"ilxtr:sparc-nlp/mmset4/3
ilxtr:sparc-nlp/mmset4/3e"
"('UBERON:0011183', ())",corpus spongiosum of penis,ilxtr:sparc-nlp/mmset4/3b
"('ILX:0793807', ())",Penile cavernous nerve,"ilxtr:sparc-nlp/mmset4/3b
ilxtr:sparc-nlp/mmset4/3
ilxtr:sparc-nlp/mmset4/3c
ilxtr:sparc-nlp/mmset4/3a"
"('UBERON:0002366', ())",bulbo-urethral gland,ilxtr:sparc-nlp/mmset4/3c
"('ILX:0793809', ())",Clitoral cavernous nerve,ilxtr:sparc-nlp/mmset4/3e
