Node,Node Name,Appear in
"('UBERON:0035965', ('ILX:0793641',))",wall of blood vessel IN Arteriole in circular muscle layer of descending colon,ilxtr:neuron-type-sdcol-f
"('UBERON:0035965', ('ILX:0793645',))",wall of blood vessel IN Arteriole in serosa of descending colon,ilxtr:neuron-type-sdcol-f
"('UBERON:0035965', ('ILX:0793644',))",wall of blood vessel IN Arteriole in myenteric nerve plexus of descending colon,ilxtr:neuron-type-sdcol-f
"('ILX:0793563', ())",splenic nerve,ilxtr:neuron-type-splen-5
"('UBERON:0001975', ('UBERON:0013473',))",serosa of esophagus IN lower esophagus,ilxtr:neuron-type-sstom-5
"('UBERON:0009961', ('UBERON:0013473',))",esophagus smooth muscle longitudinal layer IN lower esophagus,ilxtr:neuron-type-sstom-5
"('UBERON:0013473', ())",lower esophagus,ilxtr:neuron-type-sstom-5
"('UBERON:0022278', ())",nucleus of pudendal nerve,ilxtr:sparc-nlp/mmset1/1
"('UBERON:0004917', ())",urethral sphincter,ilxtr:sparc-nlp/mmset1/1
"('ILX:0793702', ())",Greater petrosal nerve,ilxtr:sparc-nlp/mmset1/10
"('ILX:0793618', ())",T3 sympathetic chain,ilxtr:sparc-nlp/mmset1/11
"('ILX:0793619', ())",T4 sympathetic chain,ilxtr:sparc-nlp/mmset1/11
"('ILX:0793698', ())",Intermediolateral nucleus of third thoracic segment,ilxtr:sparc-nlp/mmset1/11
"('ILX:0793335', ())",T5 sympathetic chain,ilxtr:sparc-nlp/mmset1/11
"('ILX:0793697', ())",Intermediolateral nucleus of second thoracic segment,ilxtr:sparc-nlp/mmset1/11
"('ILX:0793617', ())",T2 sympathetic chain,ilxtr:sparc-nlp/mmset1/11
"('ILX:0793336', ())",T6 sympathetic chain,ilxtr:sparc-nlp/mmset1/11
"('UBERON:0002441', ())",cervicothoracic ganglion,"ilxtr:sparc-nlp/mmset1/11
ilxtr:sparc-nlp/mmset1/12"
"('ILX:0738444', ())",interscapular brown adipose tissue,ilxtr:sparc-nlp/mmset1/12
"('ILX:0790497', ())",Gray communicating ramus of cervicothoracic ganglion to first thoracic spinal nerve,ilxtr:sparc-nlp/mmset1/12
"('ILX:0739303', ())",gray communicating ramus of second thoracic nerve,ilxtr:sparc-nlp/mmset1/12
"('ILX:0739304', ())",gray communicating ramus of third thoracic nerve,ilxtr:sparc-nlp/mmset1/12
"('ILX:0793714', ())",Mesenteric nerve,ilxtr:sparc-nlp/mmset1/13
"('ILX:0793735', ())",Myenteric ganglion of small intestine,ilxtr:sparc-nlp/mmset1/13
"('UBERON:0002262', ())",celiac ganglion,"ilxtr:sparc-nlp/mmset1/13
ilxtr:neuron-type-pancr-2
ilxtr:sparc-nlp/mmset4/12
ilxtr:neuron-type-pancr-1"
"('UBERON:0002370', ())",thymus,ilxtr:sparc-nlp/mmset1/14
